TOT_POP,% Black-alone,% NA/AI-alone,% Asian-alone,% Hawaiian/PI-alone,% Two or more races,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_number,Urban_rural_code,age 0-19 pct %,age 20-39 pct %,age 40-59 pct %,age 60-79 pct %,age 80+ pct %
29733,53.14633572,0.548212424,1.446204554,0.21524905,1.153600377,19.3,33.2,28.8,18.6,25.7,37562,12782,5.9,64.1,228.7,202.9,79.1,71.9,7.0,6.1,13.60946197,9.403671856,0.409838419,14.07017689,9.641095492,36.14492206,10,30687,6539,21.3,23005,53.9,12408,37.1,8535,1935,9.7,2230,17.0,3912,913,5,26.697608719999998,27.54851512,23.24353412,18.80402247,3.706319578
38082,32.68735886,0.751010976,2.203140591,0.407016438,3.492463631,10.0,32.6,33.3,24.0,8.9,68133,14955,3.6,93.8,263.2,231.8,90.3,81.7,7.3,6.3,20.02083853,9.397901425,0.42920958,18.99252391,16.67210962,52.54240606,0,37704,6858,18.2,29860,43.9,13117,34.8,10391,1852,6.7,1988,11.1,3328,837,2,23.97720708,30.50259965,25.7024316,16.908250619,2.909511055
23081,0.758199385,0.91417183,1.41241714,0.151639877,1.572722152,5.6,13.2,23.8,57.4,6.3,99087,15340,3.0,159.2,207.9,199.6,79.8,76.2,10.6,10.4,11.4259014,6.432063378,1.158570422,5.273492956,15.02146478,21.73318309,6,22923,4298,18.7,18842,24.3,4576,19.4,3655,981,4.9,928,7.2,1360,447,5,19.79550279,30.58792947,27.51613882,19.253931806,2.846497119
30772,27.45677889,0.757181854,0.984661381,0.116989471,3.360197582,14.4,37.5,28.1,20.1,9.7,67335,15067,3.5,92.7,263.2,231.8,90.3,81.7,7.3,6.3,16.1777544,7.593934737,0.346820997,15.3468291,13.47182808,42.45667033,0,29889,6464,21.6,23693,48.3,11444,37.6,8909,1686,7.6,1794,12.3,2911,735,2,24.94150527,25.48095671,26.63460289,19.455998963,3.486936176
24001,0.887463022,0.495812675,0.658305904,0.020832465,1.254114412,11.1,34.2,32.3,22.4,13.8,45943,10317,3.6,78.4,228.7,202.9,79.1,71.9,7.0,6.1,10.98579682,7.590809142,0.330828772,11.35769399,7.782461672,29.17681614,5,22262,8856,39.8,20196,44.3,8942,30.9,6241,2146,10.7,2158,14.8,2980,812,6,17.557601767,16.811799508,23.586517225,34.84854798,7.195533519
67420,2.855235835,0.444971819,1.392761792,0.173539009,1.885197271,12.6,32.4,34.3,20.8,11.9,55807,33156,3.4,95.2,228.7,202.9,79.1,71.9,7.0,6.1,30.85964841,21.32295956,0.929314438,31.90432602,21.86132103,81.95912439,0,65870,14752,22.4,51987,43.1,22389,28.6,14868,3852,8.4,4376,11.6,6031,1564,3,25.19875407,23.67695046,27.131415009999998,19.970335217,4.022545239
4833,0.082764329,0.889716532,0.786261122,0.165528657,1.965652804,1.6,18.2,31.6,48.6,7.5,68900,2400,3.5,95.8,285.7,262.5,95.4,88.9,7.8,7.1,2.456567076,1.906703357,0.075521406,2.123933468,2.310615595,6.185118278,0,4653,1815,39.0,4091,32.8,1343,22.7,929,299,6.3,258,9.6,393,132,6,16.759776537,16.635630044,27.767432239999998,35.1127664,3.724394786
9036,38.37981408,0.520141656,0.453740593,0.022133687,1.704293935,15.5,52.3,21.6,10.6,23.3,41036,3833,4.4,70.0,228.7,202.9,79.1,71.9,7.0,6.1,4.13598017,2.857820566,0.124551843,4.275993621,2.929974737,10.98461359,0,9147,2285,25.0,6983,51.6,3604,36.5,2549,690,11.2,781,17.6,1229,298,6,24.966799469999998,22.38822488,25.2766711,22.554227533,4.814077025
65691,3.863542951,0.284666088,0.987958777,0.031967849,1.997229453,7.4,34.5,33.3,24.8,12.3,55174,32893,3.9,84.8,284.4,240.5,99.6,87.2,7.0,5.8,25.58844564,12.84835917,0.964142522,49.75903463,31.21346966,110.2525331,25,66787,16968,25.4,50912,47.0,23949,33.8,17208,4057,8.6,4398,11.1,5666,1623,5,24.72941499,23.74906761,24.45540485,20.835426466999998,6.230686091
21534,0.821955977,0.287916783,0.190396582,0.078944924,0.924119996,18.8,37.2,29.6,14.4,18.5,40161,9250,3.2,55.3,263.2,231.8,90.3,81.7,7.3,6.3,11.32106341,5.31417492,0.242702565,10.73958851,9.427477771,29.71083904,0,22290,6831,30.6,17703,48.6,8601,34.4,6090,1861,11.5,2042,14.6,2578,691,3,19.629423236,21.13402062,27.44961457,25.77783969,6.009101885
1187,0.168491997,1.51642797,0.252737995,0.0,1.347935973,6.7,31.0,35.7,26.6,16.7,50861,743,2.6,85.2,239.2,214.5,88.2,80.3,6.8,6.2,0.642945926,0.505743111,0.057219111,0.550041778,0.775226666,1.688886666,0,1256,415,33.0,966,44.2,427,32.4,313,92,8.0,78,12.2,118,35,5,20.471777593,17.691659646,24.010109524999997,28.55939343,9.267059815
22601,0.641564533,1.743285695,1.194637405,0.176983319,1.610548206,11.6,22.1,28.1,38.2,7.0,76113,12323,2.4,137.1,192.6,181.6,73.9,68.9,5.8,5.5,8.864107335,7.962235949,0.579774462,5.01182813,11.87893454,17.97300833,0,21583,5080,23.5,17611,35.1,6173,26.8,4720,1302,6.8,1206,11.3,1996,564,5,24.237865579999998,21.207026237999997,27.53860448,23.724613958,3.291889739
230220,46.61454261,0.360524716,3.43671271,0.130310138,2.554513074,9.6,31.1,31.0,28.3,7.5,72970,113843,4.1,124.5,228.7,202.9,79.1,71.9,7.0,6.1,105.3768653,72.81180287,3.173342776,108.9441403,74.65015317,279.8669477,40,217506,34127,15.7,171268,43.1,73749,33.4,57204,9929,6.6,11361,12.9,22156,4928,2,28.39501347,25.448266869999998,29.09564764,14.982625315,2.078446703
2474,0.64672595,10.46887631,1.050929669,0.0,8.164915117,3.0,30.0,29.5,37.4,10.5,58943,1092,9.5,78.7,276.9,256.7,112.8,105.6,9.6,8.5,1.610331987,1.160780974,0.070452024,0.731359111,1.986076118,2.838210127,0,2537,727,28.7,2050,38.3,785,28.3,580,153,7.4,151,10.9,223,65,6,18.997574773,20.331447047,28.29426031,28.860145511,3.516572352
414576,48.24977809,0.3654336,2.947589827,0.146897071,2.39787156,8.9,22.4,30.9,37.7,16.7,52611,196988,3.4,100.3,229.5,205.0,80.1,72.3,7.0,6.2,172.9531335,85.53881994,5.626481006,174.2578248,190.8926382,526.1167457,211,404869,68651,17.0,325946,42.6,138891,36.3,118318,18763,5.8,18970,11.0,35795,9167,3,25.906709499999998,32.54674656,23.371589280000002,15.534425533,2.640529119
209550,1.292770222,3.021235982,1.240276784,0.251491291,2.411357671,14.7,34.8,37.6,12.9,16.8,45129,85442,5.8,76.4,242.0,224.0,78.1,73.2,6.9,6.1,99.43305205,56.68531325,2.425196391,97.15395183,78.57051924,270.8330765,80,204691,73559,35.9,173811,47.4,82338,28.6,49710,19531,11.1,19296,14.2,24750,7559,4,18.792650918,19.318539727999998,22.903841563,32.15509425,6.829873539
16868,1.547308513,0.420915343,0.995968698,0.041498696,1.239032488,8.4,34.4,37.5,19.8,9.9,55303,8248,2.8,92.1,218.2,193.1,84.8,77.9,6.9,6.5,10.27211868,4.558853918,0.630650366,6.830264136,11.54945289,21.84294955,0,17239,4835,28.0,13501,47.1,6361,34.7,4685,1096,7.3,986,11.1,1501,431,6,22.89542328,22.13066161,24.662082050000002,23.351908938,6.959924117
40003,4.907131965,0.527460441,1.344899133,0.06999475,2.492313077,13.7,36.0,29.2,21.1,10.3,65635,20094,3.1,90.4,263.2,231.8,90.3,81.7,7.3,6.3,21.03076528,9.87196709,0.450860533,19.95057859,17.51311383,55.1928436,8,38991,8490,21.8,31204,43.8,13654,32.4,10110,2317,8.3,2580,10.9,3396,911,2,24.35317351,24.74814388,27.82541309,19.768517361,3.304752144
29897,0.585343011,0.474964043,0.481653678,0.046827441,1.582098538,7.4,37.2,30.1,25.4,14.5,49561,14471,4.0,89.2,330.2,305.7,128.9,119.7,12.1,11.7,24.57157928,12.41981644,0.759485178,17.98192848,24.97365967,50.12602174,5,30177,8571,28.4,24662,39.2,9668,30.2,7448,2066,8.9,2190,11.2,2756,824,6,20.844900827,21.97210422,26.350469949999997,25.892229989999997,4.940295013
316739,37.25212241,0.916211771,5.49285058,0.105765315,2.542787595,11.6,17.3,23.6,47.5,13.5,59329,167606,3.5,110.0,255.0,223.5,86.2,78.1,7.1,6.2,143.8860304,129.3967651,3.41641624,154.1962866,122.7469549,456.9151684,148,300865,51648,17.2,250915,36.9,92610,30.2,75776,14555,6.0,14975,10.7,26877,7123,3,24.032720939999997,32.632230320000005,24.567230430000002,15.887528851999999,2.88028945
172828,8.185594927,0.294512463,5.415210498,0.052653505,2.414539311,4.1,25.1,26.0,44.8,14.4,67087,87889,4.2,103.1,284.4,240.5,99.6,87.2,7.0,5.8,67.32124467,33.80305092,2.536585282,130.9122169,82.12025291,290.0659875,30,173231,29727,17.2,135692,37.1,50324,28.6,38808,7429,6.1,8247,8.2,11180,3312,4,26.34989701,31.92943273,23.0280973,15.407804291000001,3.284768672
110683,5.86268894,0.222256354,0.774283314,0.02439399,1.8512328,10.2,43.5,23.8,22.6,15.3,48788,50087,4.7,80.1,320.5,273.3,100.8,88.2,8.7,7.2,60.52232511,48.9934401,1.719826174,89.67294664,62.25943597,231.3295839,45,113623,31083,27.4,89220,51.5,45947,35.9,32030,7570,9.1,8114,12.4,11046,2998,3,22.321404372,22.55269553,25.80974495,23.183325348,6.132829793
46847,0.802612761,21.96725511,0.751382159,0.046961385,3.289431554,8.7,28.1,35.2,28.1,18.4,47073,24088,4.1,67.0,302.7,265.0,104.9,96.0,7.4,6.6,24.04474354,15.12815114,1.060306399,26.84161475,29.27113571,78.33744049,10,45847,9482,20.7,35078,42.3,14852,35.4,12418,2596,6.6,2325,10.8,3799,1123,5,29.0242705,27.94202403,20.899950901,17.97126817,4.162486392
28287,38.39926468,0.735320112,0.590377205,0.441899106,1.456499452,25.7,35.5,26.1,12.7,25.5,38034,13152,3.9,85.0,191.3,174.8,65.9,61.2,7.1,6.7,19.75760565,1.013453406,0.937681189,11.16693052,10.39026529,32.02323332,0,28399,5665,19.9,20724,57.0,11822,44.3,9181,2006,11.3,2350,17.8,3681,859,6,28.95676459,24.795842620000002,24.93725033,17.728992114,3.581150352
4664,0.857632933,0.38593482,0.621783877,0.021440823,1.522298456,4.8,32.4,38.2,24.5,11.0,48566,2401,2.7,83.5,227.6,206.5,88.0,80.5,6.8,6.3,2.630353717,1.332797986,0.222666971,1.930314391,2.865836054,6.108123462,0,4705,1745,37.1,3696,47.9,1769,36.5,1349,347,8.6,318,13.1,484,134,6,22.44854203,18.803602059,22.298456261,26.75814751,9.691252144
16006,0.606022742,1.461951768,0.84968137,0.124953143,2.836436336,10.4,32.9,34.4,22.3,15.4,45972,6976,5.5,72.8,303.4,271.5,109.4,101.0,9.2,8.3,8.024554771,4.422862649,0.232983266,9.81203294,7.554768842,23.53512923,2,15980,5273,33.0,12871,46.2,5948,31.9,4106,1275,9.9,1274,13.5,1739,489,6,21.242034240000002,20.860927157,23.37873297,28.35811571,6.160189929
7147,0.671610466,1.497131664,0.363789002,0.083951308,1.287253393,9.2,43.6,29.8,17.4,9.9,59813,4449,3.2,104.9,240.4,219.1,92.8,84.8,9.2,8.6,3.831780648,3.272810532,0.461757922,2.746244481,4.382649748,7.76077349,0,7133,2044,28.7,5538,38.7,2143,28.5,1578,442,6.3,350,10.6,589,171,6,24.69567651,19.952427594,26.45865398,23.100601648,5.792640269
124672,23.57867043,0.466022844,1.406891684,0.085825205,1.345931725,11.6,32.4,29.2,26.8,10.8,77758,62979,4.1,161.9,260.3,231.8,84.1,75.8,9.1,7.8,63.24592262,20.52014494,4.227096351,67.07171236,47.94276368,200.4660314,0,119129,18726,15.7,91301,45.7,41764,34.0,31042,5856,7.5,6812,11.2,10228,2486,3,29.12121406,27.15124486,26.4614348,15.082777208,2.183329055
13640,0.64516129,1.239002933,0.454545455,0.08797654,1.671554252,10.1,38.2,34.5,17.2,9.5,68162,7554,3.7,109.5,207.9,199.6,79.8,76.2,10.6,10.4,6.752276555,3.801106732,0.684671399,3.116435333,8.877118827,12.84349107,0,14166,2972,21.0,10286,41.8,4300,31.6,3250,736,7.8,801,9.9,1016,298,6,26.8914956,23.277126099999997,25.65249267,20.43255132,3.746334311
597695,2.453425242,1.141217511,11.44697546,0.526020797,4.407766503,8.4,17.5,30.4,43.7,8.8,82819,322574,3.5,131.1,303.4,271.5,109.4,101.0,9.2,8.3,299.6523969,165.1582463,8.700045792,366.4002892,282.1096816,878.8472487,85,572071,100693,17.6,461081,35.6,164334,28.0,129103,23947,5.3,24373,9.5,43790,11292,2,25.00188223,29.669982179999998,26.38017718,15.921331118,3.026627293
198627,8.410236272,0.238638252,0.554808762,0.028697005,2.090350254,10.9,44.9,25.7,18.5,17.6,47424,87662,6.2,84.5,292.7,248.6,93.7,83.7,8.3,7.1,102.6146888,37.99411229,3.296448025,134.338753,91.85875271,387.111747,42,203341,55450,27.3,157839,51.1,80615,37.3,58874,14942,11.0,17367,13.5,21283,5660,3,22.56692192,22.44458205,25.77343463,23.700705346,5.514356054
86183,3.84646624,0.362020352,0.573198891,0.027847719,2.888040565,12.7,42.1,29.7,15.5,16.6,49586,39379,5.3,88.3,292.7,248.6,93.7,83.7,8.3,7.1,44.52386495,16.48540521,1.430307965,58.28873594,39.85693226,167.9653405,48,85933,20112,23.4,66725,49.9,33307,37.1,24755,6026,10.8,7237,12.5,8370,2208,5,24.917907239999998,24.73921772,25.55608415,20.342759012000002,4.444031886
18717,1.175402041,0.945664369,0.646471123,0.096169258,2.58588449,9.4,33.5,35.0,22.1,10.9,50605,9142,3.5,87.0,227.6,206.5,88.0,80.5,6.8,6.3,10.55581701,5.348623478,0.893580124,7.746503956,11.50082621,24.5123814,0,19162,4867,25.4,14278,50.3,7180,40.3,5754,1194,8.5,1217,12.5,1780,481,6,25.90692953,22.39140888,24.90249506,20.692418656,6.106747876
25776,3.336436996,0.62849162,0.543140906,0.031036623,1.520794538,19.6,42.9,23.6,13.9,20.3,37690,10387,4.4,72.0,253.1,225.8,85.1,77.8,8.1,7.4,21.88481967,4.538396841,0.437848689,13.6570717,9.465146433,38.46595913,0,25813,7483,29.0,20477,53.8,11021,38.5,7884,2278,13.2,2698,15.9,3247,810,6,22.51707014,20.99239602,26.02420857,25.10086903,5.365456238
48892,1.249693201,0.828356377,0.494968502,0.026589217,1.650576781,13.2,40.3,30.6,15.9,15.6,48860,23333,4.3,86.3,287.0,249.7,97.8,87.6,7.9,6.7,21.6190954,18.50340224,0.70433252,36.26823357,29.45968588,99.3059941,9,47899,12202,25.5,37868,49.9,18911,36.0,13632,3698,11.0,4166,13.0,4911,1354,6,24.61752434,22.3840301,26.17810685,22.525157491,4.295181216
21366,0.688008986,0.327623327,0.575680989,0.056163999,1.076476645,8.2,37.1,30.9,23.8,7.8,56832,10983,4.4,87.3,284.4,240.5,99.6,87.2,7.0,5.8,8.322642821,4.178929259,0.313587388,16.18412772,10.15218208,35.85964016,0,22046,7704,34.9,17349,45.3,7862,32.0,5552,1596,9.4,1629,12.3,2128,610,6,20.630908926,18.234578302000003,24.66067584,29.968173730000004,6.505663203
16434,1.204819277,0.590239747,0.32250213,0.036509675,1.429962273,14.5,40.4,30.1,15.0,17.7,40308,6858,3.9,85.6,207.6,188.2,79.9,75.0,7.0,6.5,7.115997113,1.139650112,0.479852679,4.902131345,9.188088227,19.8320931,0,16777,4447,26.5,12820,49.2,6313,36.9,4731,1321,10.8,1388,13.7,1759,461,6,24.91176829,23.76171352,24.9665328,21.023487894,5.336497505
18365,43.31609039,0.343043833,0.386604955,0.021780561,0.76776477,23.4,31.3,31.7,13.6,23.7,36761,6927,5.7,82.2,191.3,174.8,65.9,61.2,7.1,6.7,12.82739166,0.65797263,0.608778415,7.249997489,6.745756781,20.79070527,0,18731,4680,25.0,13744,56.0,7692,42.5,5841,1382,11.1,1530,17.0,2332,582,6,27.503403210000002,22.60277702,24.0348489,20.789545328,5.069425538
165324,22.96944182,1.383949094,5.306549563,0.345987274,3.135056011,20.9,32.6,29.1,17.4,18.4,47084,77858,4.8,81.0,227.6,206.5,88.0,80.5,6.8,6.3,93.23769253,47.24345931,7.892837553,68.42351979,101.5847941,216.5135942,145,163227,27635,16.9,119273,51.0,60820,41.3,49260,8764,7.9,9450,15.2,18099,4100,2,30.14807288,28.34131766,23.59850959,15.056495124000001,2.855604752
6980,1.361031519,8.538681948,0.257879656,0.042979943,1.446991404,12.3,36.4,32.9,18.4,15.7,50278,2878,2.5,88.1,240.4,219.1,92.8,84.8,9.2,8.6,3.742245547,3.196336577,0.450968279,2.682074504,4.280242792,7.579431784,0,6972,1925,27.6,5562,41.7,2322,31.7,1763,474,6.7,371,11.0,610,181,6,22.29226361,26.38968482,24.4269341,19.828080233999998,7.063037249
50953,22.56000628,0.347378957,0.671206798,0.058877789,1.982218908,21.2,34.3,31.8,12.8,20.0,36471,23565,3.7,50.2,263.2,231.8,90.3,81.7,7.3,6.3,26.78750553,12.57421541,0.574274348,25.4116399,22.30696921,70.30075144,0,51956,15335,29.5,41058,54.0,22153,36.8,15109,4559,11.9,4901,16.9,6951,1830,5,21.33142308,20.287323612,26.85219712,25.33315016,6.195906031
10714,0.625350009,1.278700765,0.326675378,0.065335076,1.540041068,5.9,28.8,33.3,32.0,11.7,53661,5487,3.5,97.1,247.1,236.2,91.5,88.0,9.8,9.4,5.083150319,3.943475744,0.56479448,3.469451805,5.920256424,11.6186293,0,10466,3544,33.9,8845,35.6,3148,26.6,2353,707,7.2,636,10.9,964,290,4,19.301848045,18.247153261,26.81538174,30.00746686,5.628150084
264870,11.84845396,0.519122588,2.804394609,0.062294711,3.492279231,6.4,22.0,33.5,38.1,14.4,55881,132886,3.4,98.7,287.0,249.7,97.8,87.6,7.9,6.7,117.1203837,100.2412696,3.815686708,196.4813676,159.5963961,537.985328,34,259830,51450,19.8,207559,41.3,85818,30.6,63513,13591,7.5,15514,9.7,20169,5759,3,25.06814663,31.811454670000003,22.38343338,17.095178764,3.641786537
34074,0.454892293,0.431413981,0.572283853,0.041087046,1.27663321,7.3,39.7,32.1,20.9,7.1,67758,17645,2.9,121.6,230.8,212.0,80.3,74.4,6.5,6.1,17.58213793,4.302608326,0.672123431,13.39664202,16.92019819,44.32959537,0,33481,8060,24.1,26175,40.5,10591,31.5,8245,1980,9.2,2398,11.9,3107,771,3,25.18342431,23.1085285,26.42777485,20.927980282,4.35229207
2508,0.159489633,1.993620415,0.518341308,0.079744817,3.588516746,13.2,40.4,31.4,15.0,17.7,37360,1165,3.3,64.2,227.6,206.5,88.0,80.5,6.8,6.3,1.41443549,0.716693257,0.119736013,1.037999248,1.541062784,3.284556956,0,2581,935,36.2,1965,53.2,1045,39.4,774,227,11.1,218,16.3,321,83,6,23.12599681,15.909090909,22.846889953999998,29.66507177,8.452950558
97927,14.88864154,0.769961298,1.655314673,0.284906104,1.931030257,19.0,33.1,27.5,20.4,20.7,44906,44274,4.3,76.6,228.7,202.9,79.1,71.9,7.0,6.1,44.82338757,30.97142481,1.34982164,46.34077328,31.75339045,119.0449596,65,96471,20941,21.7,75225,48.2,36229,33.4,25125,6227,9.6,7216,13.6,10257,2599,4,26.52792386,25.739581530000002,24.85014348,18.84771309,4.034638047
1894,0.369588173,1.742344245,0.844772967,0.527983105,2.481520591,9.7,31.2,38.9,20.2,11.4,54325,844,3.9,86.0,303.4,271.5,109.4,101.0,9.2,8.3,0.94955059,0.523360106,0.027569056,1.161064,0.893960527,2.784926575,0,1910,674,35.3,1526,45.4,692,32.1,490,156,9.9,152,13.7,209,60,6,21.27771911,18.426610347,22.386483629,29.7782471,8.13093981
1614714,5.914979371,0.262027827,12.85082064,0.066079814,2.436406695,6.9,19.6,18.4,55.2,7.3,100374,923768,2.7,125.8,449.5,353.7,134.3,114.6,9.6,7.3,1465.423087,506.7219679,17.54577451,2150.644068,461.1029542,4847.780526,216,1582857,319971,20.2,1295883,29.2,378087,21.0,272135,65873,4.8,62364,7.5,97570,30890,2,22.65484786,29.52107927,26.49032584,17.311796389,4.021950636
11323,6.685507374,0.415084342,0.211957962,0.017663163,0.81250552,27.2,39.3,25.1,8.5,39.1,28925,2788,6.5,57.6,230.9,214.6,77.3,72.9,8.3,7.6,7.434801524,2.498539299,0.266071629,5.004680644,4.814629481,16.35960417,0,12175,2520,20.7,9103,60.3,5493,45.3,4124,960,13.8,1254,16.0,1454,331,6,21.39892255,29.1088934,26.4505873,19.420648243000002,3.620948512
293718,11.87703852,0.465752865,3.792072668,0.080349178,2.5749188,9.5,26.2,29.1,35.2,9.2,79604,143934,3.7,117.7,375.1,304.1,112.9,94.8,10.2,7.4,189.5424257,133.6611523,2.494968097,311.4201143,97.39393535,735.0837331,51,295685,66971,22.6,238569,38.3,91485,28.7,68469,15968,7.0,16811,10.5,25005,6758,2,22.153562261,25.04681361,28.1300431,20.079463976,4.590117051
74163,16.37743888,0.718687216,0.666100347,0.136186508,1.740760217,19.1,40.7,27.8,12.4,18.8,39578,27097,4.8,71.4,265.2,240.7,86.8,80.1,6.9,6.0,43.03679483,21.21546852,0.755581268,40.37310971,28.83047421,101.3349385,10,72435,21116,29.2,58288,56.1,32706,38.3,22324,7011,13.9,8091,17.4,10149,2599,5,23.39980853,21.347572239999998,24.4744684,25.56800561,5.210145221
68114,57.12775641,0.415479931,0.866194909,0.114513903,1.350676807,14.0,38.5,29.7,17.8,22.2,38596,28066,5.3,82.0,207.6,188.2,79.9,75.0,7.0,6.5,29.49367332,4.723507835,1.988845404,20.31786384,38.08186939,82.19807653,34,71373,15529,21.8,53061,52.7,27960,42.2,22392,4866,9.6,5096,16.4,8680,2089,4,25.26059253,26.00640103,24.55589159,20.183809496,3.993305341
9534,0.335640864,1.216698133,0.9125236,0.031466331,1.982378855,5.1,35.8,33.8,25.3,8.1,66226,4932,3.4,119.9,247.1,236.2,91.5,88.0,9.8,9.4,4.523311102,3.509156033,0.502590122,3.087339323,5.268221462,10.3389968,0,9342,2685,28.7,7458,43.0,3208,32.0,2387,580,7.0,524,10.9,812,231,6,23.7256136,18.019718900999997,26.59953849,27.491084540000003,4.164044472
6495,0.677444188,2.694380293,0.092378753,0.015396459,1.016166282,9.0,36.5,32.3,22.2,12.6,50590,3238,3.5,88.7,240.4,219.1,92.8,84.8,9.2,8.6,3.482218457,2.974241557,0.419633091,2.495712594,3.982833372,7.052780722,0,6478,1753,27.1,5002,43.1,2153,31.7,1586,401,6.4,319,10.3,514,157,6,25.06543495,22.90993072,23.756735949,21.647421097,6.62047729
7682,3.306430617,1.353814111,0.481645405,0.0,2.252017704,10.0,36.0,34.7,19.3,13.3,50949,4181,3.5,87.6,227.6,206.5,88.0,80.5,6.8,6.3,4.332413649,2.195230302,0.366751216,3.179390041,4.720272849,10.06059272,0,7790,2038,26.2,6056,44.4,2690,36.3,2198,488,8.4,506,12.1,732,194,4,26.126008849999998,23.27518875,24.017183019999997,21.179380368,5.402239
242782,26.77752057,0.37729321,1.935481214,0.056017332,1.569720984,12.5,30.2,25.2,32.1,15.3,57821,113337,4.5,120.4,260.3,231.8,84.1,75.8,9.1,7.8,123.1629523,39.96023028,8.23170324,130.6131647,93.36210257,390.3807112,80,238230,41592,17.5,185432,41.3,76658,30.6,56742,13013,8.0,14806,12.1,22417,5518,3,26.08760122,30.243593009999998,24.4519775,16.228962611,2.987865657
30774,4.864496003,0.217716254,0.308702151,0.019496978,1.192565152,19.4,43.2,26.2,11.1,17.4,43722,10604,6.7,87.1,230.9,214.6,77.3,72.9,8.3,7.6,20.20653379,6.79060747,0.723137712,13.60187602,13.08534908,44.46263877,6,31153,7703,24.7,24417,53.7,13101,40.2,9816,2647,13.3,3255,15.6,3821,902,6,23.2826412,24.549944760000002,26.30142328,21.440176769,4.425813999
34711,2.324911411,0.602114603,0.455187117,0.043213967,2.019532713,12.1,38.4,30.9,18.6,10.5,62056,17560,2.8,114.0,273.1,236.3,86.6,79.0,7.0,6.3,19.35989819,3.767729675,0.691222587,21.5922072,15.50151638,61.55847055,0,33554,8041,24.0,26457,47.9,12666,33.8,8942,2199,9.7,2570,12.2,3227,829,2,25.85059492,22.9696638,26.40085275,20.846417567000003,3.932470975
20690,4.780086999,0.343160947,0.270662156,0.009666506,1.445142581,11.3,44.7,33.2,10.8,13.7,47554,8616,4.7,85.3,230.8,212.0,80.3,74.4,6.5,6.1,10.67601203,2.612577516,0.408118618,8.134546087,10.27407702,26.91727793,4,20900,4547,21.8,16711,50.7,8469,40.5,6768,1389,10.6,1775,13.4,2246,537,4,21.454809089999998,26.82938617,27.259545680000002,20.188496855,4.267762204
799767,41.89095074,0.744716899,5.79618814,0.13328882,2.420579994,14.3,28.1,22.8,34.8,14.9,62875,364346,5.2,76.9,306.5,271.0,97.7,87.5,7.6,6.7,495.2915343,167.162015,7.361592498,634.7129142,243.1121035,1406.60282,267,800401,146732,18.3,610790,40.6,247681,30.2,184459,39828,6.3,38345,13.0,79216,19711,1,26.03808359,27.28194587,27.4224868,15.723829566,3.533654177
51859,14.83252666,0.782892073,1.696908926,0.160049365,3.152779653,14.8,30.2,30.3,24.7,8.7,72111,24178,2.8,99.3,263.2,231.8,90.3,81.7,7.3,6.3,27.26381664,12.7977987,0.584485573,25.86348662,22.70361149,71.55077559,6,49795,10197,20.5,38995,44.6,17387,34.8,13570,2801,7.7,3008,11.7,4572,1170,2,27.13897299,23.83964211,27.07726721,18.640930216,3.303187489
65711,18.29526259,0.881131013,1.581166015,0.057828978,1.847483679,16.7,29.2,29.6,24.5,21.6,45357,28799,3.9,74.8,224.8,199.9,72.9,66.5,6.2,5.4,22.66540357,13.37716697,1.19737435,24.86326088,22.00604637,77.60725758,27,65411,11946,18.3,50468,47.7,24062,36.4,18370,3880,8.2,4121,12.9,6505,1636,5,29.38016466,29.93106177,20.406020304000002,16.811492747,3.47126052
229577,7.059069506,0.34803138,4.161131124,0.071000144,2.269391098,11.4,32.9,31.0,24.7,14.8,54096,101729,4.4,80.0,375.1,304.1,112.9,94.8,10.2,7.4,148.1508844,104.4727472,1.950126621,243.4133951,76.12542472,574.5589926,51,232324,56184,24.2,180924,48.7,88022,33.3,60248,14899,9.5,17194,12.9,23351,5945,3,24.00327558,24.94718548,25.47816201,20.289488927,5.281887994
11237,56.69662721,0.507252826,0.400462757,0.008899172,1.397170063,24.1,41.5,21.8,12.6,22.9,43031,3822,4.9,59.3,263.2,231.8,90.3,81.7,7.3,6.3,5.907624666,2.773074374,0.126648497,5.604195976,4.919502541,15.5038868,0,11595,2584,22.3,9505,50.6,4814,39.4,3745,821,9.4,890,15.7,1493,368,2,17.175402687000002,32.24170152,26.24365934,20.201121298,4.138115155
